,Rank,movie_title,year,star_cast,Rating,votes,link
207,208,Thuppakki,2012,"A.R. Murugadoss (dir.), Joseph Vijay, Kajal Aggarwal",7.693888145957145,31003,https://www.imdb.com/title/tt2187153/
208,209,Samsara,2001,"Pan Nalin (dir.), Shawn Ku, Christy Chung",7.688899886546547,7655,https://www.imdb.com/title/tt0196069/
209,210,Kai Po Che,2013,"Abhishek Kapoor (dir.), Amit Sadh, Sushant Singh Rajput",7.681441243779429,34292,https://www.imdb.com/title/tt2213054/
210,211,Kaththi,2014,"A.R. Murugadoss (dir.), Joseph Vijay, Samantha Akkineni",7.6777175960854445,23906,https://www.imdb.com/title/tt3801314/
211,212,Oye Lucky! Lucky Oye!,2008,"Dibakar Banerjee (dir.), Abhay Deol, Paresh Rawal",7.676242319137865,16778,https://www.imdb.com/title/tt1292703/
212,213,24,2016,"Vikram K. Kumar (dir.), Suriya, Samantha Akkineni",7.655588626958603,19320,https://www.imdb.com/title/tt4981966/
213,214,Mumbai Meri Jaan,2008,"Nishikant Kamat (dir.), Paresh Rawal, Kay Kay Menon",7.651304810244102,6065,https://www.imdb.com/title/tt1266583/
214,215,Rockstar,2011,"Imtiaz Ali (dir.), Ranbir Kapoor, Nargis Fakhri",7.648225075885458,41112,https://www.imdb.com/title/tt1839596/
215,216,Ghilli,2004,"Dharani (dir.), Joseph Vijay, Trisha Krishnan",7.6457945428491865,12837,https://www.imdb.com/title/tt0422320/
216,217,Avane Srimannarayana,2019,"Sachin Ravi (dir.), Rakshit Shetty, Shanvi Srivastava",7.641479249605138,5465,https://www.imdb.com/title/tt7998242/
217,218,Eega,2012,"S.S. Rajamouli (dir.), Sudeep, Nani",7.640858136812874,22135,https://www.imdb.com/title/tt2258337/
218,219,Kabhi Haan Kabhi Naa,1994,"Kundan Shah (dir.), Shah Rukh Khan, Suchitra Krishnamoorthi",7.632560768040094,17623,https://www.imdb.com/title/tt0110222/
219,220,Darr,1993,"Yash Chopra (dir.), Juhi Chawla, Sunny Deol",7.63092056805386,22724,https://www.imdb.com/title/tt0109555/
220,221,Newton,2017,"Amit Masurkar (dir.), Rajkummar Rao, Pankaj Tripathi",7.628421798988212,18108,https://www.imdb.com/title/tt6484982/
221,222,Kapoor & Sons,2016,"Shakun Batra (dir.), Rishi Kapoor, Rajat Kapoor",7.627763338116025,24159,https://www.imdb.com/title/tt4900716/
222,223,Sir,2018,"Rohena Gera (dir.), Tillotama Shome, Vivek Gomber",7.622923371018251,5665,https://www.imdb.com/title/tt7142506/
223,224,Ugramm,2014,"Prashanth Neel (dir.), Sri Murali, Haripriya",7.622883836590594,5441,https://www.imdb.com/title/tt3320542/
224,225,Aamir,2008,"Raj Kumar Gupta (dir.), Rajeev Khandelwal, Aishwarya",7.621977888251775,10908,https://www.imdb.com/title/tt1241195/
225,226,The Tashkent Files,2019,"Vivek Agnihotri (dir.), Shweta Basu Prasad, Mithun Chakraborty",7.618340278916438,9697,https://www.imdb.com/title/tt8108268/
226,227,Earth,1998,"Deepa Mehta (dir.), Aamir Khan, Nandita Das",7.614033228055423,7543,https://www.imdb.com/title/tt0150433/
227,228,Madras Cafe,2013,"Shoojit Sircar (dir.), John Abraham, Nargis Fakhri",7.608235801233178,23509,https://www.imdb.com/title/tt2855648/
228,229,Agneepath,1990,"Mukul Anand (dir.), Amitabh Bachchan, Mithun Chakraborty",7.605002159765437,8546,https://www.imdb.com/title/tt0098999/
229,230,Sarkar,2005,"Ram Gopal Varma (dir.), Amitabh Bachchan, Abhishek Bachchan",7.60283155823184,16101,https://www.imdb.com/title/tt0432047/
230,231,Detective Byomkesh Bakshy!,2015,"Dibakar Banerjee (dir.), Sushant Singh Rajput, Anand Tiwari",7.598864725753003,21353,https://www.imdb.com/title/tt3447364/
231,232,Pyaar Ka Punchnama,2011,"Luv Ranjan (dir.), Kartik Aaryan, Raayo S. Bakhirta",7.5984680956173545,20464,https://www.imdb.com/title/tt1926313/
232,233,Bheja Fry,2007,"Sagar Ballary (dir.), Vinay Pathak, Rajat Kapoor",7.598263271173791,11484,https://www.imdb.com/title/tt1014672/
233,234,Neerja,2016,"Ram Madhvani (dir.), Sonam Kapoor, Shabana Azmi",7.5974252417110915,21587,https://www.imdb.com/title/tt5286444/
234,235,Highway,2014,"Imtiaz Ali (dir.), Alia Bhatt, Randeep Hooda",7.586019660914992,27299,https://www.imdb.com/title/tt2980794/
235,236,Kannum Kannum Kollaiyadithaal,2020,"Desingh Periyasamy (dir.), Dulquer Salmaan, Gautham Vasudev Menon",7.585584526915789,5688,https://www.imdb.com/title/tt8042292/
236,237,Magadheera,2009,"S.S. Rajamouli (dir.), Ram Charan, Kajal Aggarwal",7.580172719279903,19088,https://www.imdb.com/title/tt1447500/
237,238,Baazigar,1993,"Abbas Alibhai Burmawalla (dir.), Shah Rukh Khan, Kajol",7.570207208129643,26705,https://www.imdb.com/title/tt0106333/
238,239,Tanu Weds Manu Returns,2015,"Aanand L. Rai (dir.), Kangana Ranaut, Madhavan",7.563400390199427,26994,https://www.imdb.com/title/tt2140465/
239,240,Manorama: Six Feet Under,2007,"Navdeep Singh (dir.), Abhay Deol, Gul Panag",7.56295685042281,7628,https://www.imdb.com/title/tt0920464/
240,241,Saala Khadoos,2016,"Sudha Kongara (dir.), Madhavan, Nassar",7.56172103104436,11697,https://www.imdb.com/title/tt5310090/
241,242,Ludo,2020,"Anurag Basu (dir.), Pankaj Tripathi, Abhishek Bachchan",7.560225255126624,33166,https://www.imdb.com/title/tt7212754/
242,243,Wake Up Sid,2009,"Ayan Mukherjee (dir.), Ranbir Kapoor, Konkona Sen Sharma",7.558766943424577,29344,https://www.imdb.com/title/tt1324059/
243,244,Piku,2015,"Shoojit Sircar (dir.), Deepika Padukone, Amitabh Bachchan",7.557583945943649,29956,https://www.imdb.com/title/tt3767372/
244,245,1 - Nenokkadine,2014,"Sukumar (dir.), Mahesh Babu, Kriti Sanon",7.5570252929506,43850,https://www.imdb.com/title/tt2375559/
245,246,Dhruva,2016,"Surender Reddy (dir.), Ram Charan, Arvind Swamy",7.550220447860846,6258,https://www.imdb.com/title/tt6027478/
246,247,Geetha Govindam,2018,"Parasuram (dir.), Vijay Deverakonda, Rashmika Mandanna",7.545126786218062,11805,https://www.imdb.com/title/tt8590896/
247,248,Kuch Kuch Hota Hai,1998,"Karan Johar (dir.), Shah Rukh Khan, Kajol",7.538609325340515,49605,https://www.imdb.com/title/tt0172684/
248,249,Trapped,2016,"Vikramaditya Motwane (dir.), Rajkummar Rao, Geetanjali Thapa",7.53666958332924,11366,https://www.imdb.com/title/tt6206564/
249,250,Jodhaa Akbar,2008,"Ashutosh Gowariker (dir.), Hrithik Roshan, Aishwarya Rai Bachchan",7.53422924070607,30887,https://www.imdb.com/title/tt0449994/
